preset_name,amp_attack,amp_decay,amp_sustain,amp_release,osc1_waveform,filter_attack,filter_decay,filter_sustain,filter_release,filter_resonance,filter_env_amount,filter_cutoff,osc2_detune,osc2_waveform,master_vol,lfo_freq,lfo_waveform,osc2_range,osc_mix,freq_mod_amount,filter_mod_amount,amp_mod_amount,osc_mix_mode,osc1_pulsewidth,osc2_pulsewidth,reverb_roomsize,reverb_damp,reverb_wet,reverb_width,distortion_crunch,osc2_sync,portamento_time,keyboard_mode,osc2_pitch,filter_type,filter_slope,freq_mod_osc,filter_kbd_track,filter_vel_sens,amp_vel_sens,portamento_mode
Demitasse2,0.176154,1.17533,0,1.00496,2,0.227214,0.447477,0,2.27609,0.0152756,13.9843,0.334646,-0.76926,0,0.70197,0,1,1,0.548824,0.95151,-0.686667,-0.720382,0,0.693019,0.994536,0.290174,0.00746943,0.21881,0.820308,0.321305,0,0,0,6,2,0,,,,,
InAWay,0.273679,1.0094,0.612538,0.277947,1,0.188813,0.240969,0.00272198,1.72511,0.626897,3.14961,0.381118,-0.439386,2,0.834646,0,5,1,-0.453285,0.0287313,-0.521354,-0.530909,1,0.19685,0.433071,0.150646,0.0856958,0.110184,0.91871,0.0687151,1,0.0415146,0,-7,0,1,,,,,
MyCyberFriend,0.0333333,1.59168,0,0.340253,1,0.0916667,0.450001,0.113333,0.791667,0.469649,12.9764,0.2937,0.653543,0,0.866142,2.65748,0,2,-0.0551181,0.390576,0.186667,-1,1,0.166667,0.593334,0.036667,0.88,0.166666,1,0.066,0,0,0,12,0,1,,,,,
SimpleSam,0.0333333,1.20834,0,0.498587,1,0.0916667,0.566667,0.22,1.225,0.805909,11.84,-0.5,0.0333333,2,0.725302,2.83465,0,0,0.79503,0.340179,-0.113333,-1,0,1,1,0,0.88,0.18,1,0,0,0.00666667,0,-12,0,1,,,,,
Butterfly,0.108333,1.35,0,0.866667,2,0.433333,0.541667,0.973333,0.149997,0.582,2.02667,0.326666,0.04,1,0.6779,1.825,0,0,-0.574803,0.188988,-0.693333,-1,0,0.858268,0.724409,0.176666,0.95,0.12,1,0.24,0,0,0,12,2,0,,,,,
Ensembles,0.108333,1.35,0,0.641667,2,0.433333,0.541667,0.973333,0.149997,0.582,2.02667,0.326666,0.04,1,0.6779,2.225,0,0,-1,0.188988,-0.693333,-1,0,0.858268,0.724409,0.176666,0.95,0.12,1,0,0,0,0,12,0,1,,,,,
NothingToHide,0.0333333,1.57501,0,0.965253,1,0,0.108333,1,0.841667,0.690864,3.14961,0.533334,0.0266667,1,0.485302,2.2,0,0,0.574803,0.100794,-0.533333,-1,0,0,1,0.17,0.88,0.18,1,0,0,0,0,0,0,1,,,,,
basic7revisited,0.0333333,1.29168,0,0.840253,2,0.0916667,0.65,0.786667,1.225,0.712142,11.84,-0.279528,0.0333333,1,0.725302,7.5,1,0,-0.0983033,0,-0.446667,-1,0,0.0166666,0.338583,0.283334,0.88,0.19,1,0,0,0,0,0,0,1,,,,,
basic7revisited2,0.0333333,1.29168,0,0.840253,2,0.0916667,0.65,0.786667,1.225,0.712142,11.84,-0.279528,0.0333333,1,0.508635,7.5,1,0,-0.0983033,0,-0.446667,-1,0,0.0166666,0.795276,0.283334,0.88,0.19,1,0,0,0,0,0,0,1,,,,,
BrainWaves,0.0333333,1.35834,0,0.806917,3,0,1.09167,0,0.858333,0.885984,12.0458,0.492126,0.0333333,0,0.480315,1.86102,1,1,0.574803,1.25992,0.52,-1,0,1,0.99,0.223334,0.88,0.18,1,0,0,0,0,0,0,1,,,,,
